Var1,Var2,value,summed_score,percentage,responses,proportion,nice_names,positive_scored_response,null_scored_response,prop_test_chi_pvalue,proportion_error,ymax,ymin
Non-underrepresented,Faculty Issues: Expertise/training,246,280,87.85714285714286,880,0.27954545454545454,Not_underrepresented_in_STEM,246,634,0.011416657445803438,0.0296507897487563,0.2878341980434023,0.27125671104750676
underrepresented,Faculty Issues: Expertise/training,34,280,12.142857142857142,81,0.41975308641975306,Underrepresented_in_STEM,34,47,0.011416657445803438,0.1074753703157646,0.4648662048239012,0.37463996801560495
Non-underrepresented,Faculty Issues: Time,76,81,93.82716049382715,880,0.08636363636363636,Not_underrepresented_in_STEM,76,804,0.5790856335935107,0.018559185103733986,0.08796647507714066,0.08476079765013207
underrepresented,Faculty Issues: Time,5,81,6.172839506172839,81,0.06172839506172839,Underrepresented_in_STEM,5,76,0.5790856335935107,0.052409782937021226,0.06496356684796427,0.058493223275492515
Non-underrepresented,Faculities Issues: Access to computer labs,39,45,86.66666666666667,880,0.04431818181818182,Not_underrepresented_in_STEM,39,841,0.3481364651041079,0.013597353370096267,0.04492079179708381,0.04371557183927983
underrepresented,Faculities Issues: Access to computer labs,6,45,13.333333333333334,81,0.07407407407407407,Underrepresented_in_STEM,6,75,0.3481364651041079,0.05703307919134475,0.07829874660676628,0.06984940154138186
Non-underrepresented,Student Issues: Lack of background skills/knowledge,171,181,94.47513812154696,880,0.1943181818181818,Not_underrepresented_in_STEM,171,709,0.15783483502683165,0.026142387970202605,0.19939812311693708,0.18923824051942653
underrepresented,Student Issues: Lack of background skills/knowledge,10,181,5.524861878453039,81,0.12345679012345678,Underrepresented_in_STEM,10,71,0.15783483502683165,0.07163903663743366,0.13230111563425107,0.1146124646126625
Non-underrepresented,Student Issues: Lack of interest,91,97,93.81443298969072,880,0.10340909090909091,Not_underrepresented_in_STEM,91,789,0.5183146879440014,0.020117929437886553,0.105489467703236,0.10132871411494582
underrepresented,Student Issues: Lack of interest,6,97,6.185567010309279,81,0.07407407407407407,Underrepresented_in_STEM,6,75,0.5183146879440014,0.05703307919134475,0.07829874660676628,0.06984940154138186
Non-underrepresented,Curriculum Issues: Lack of integration,75,82,91.46341463414635,880,0.08522727272727272,Not_underrepresented_in_STEM,75,805,0.9999999999999989,0.018448142927603738,0.08679955763587531,0.08365498781867013
underrepresented,Curriculum Issues: Lack of integration,7,82,8.536585365853659,81,0.08641975308641975,Underrepresented_in_STEM,7,74,0.9999999999999989,0.06119070298337689,0.09170783852942763,0.08113166764341187
Non-underrepresented,Curriculum Issues: Access to bioinformatics lesson plans/curriculum,28,35,80,880,0.031818181818181815,Not_underrepresented_in_STEM,28,852,0.027784967236342984,0.011596392218785048,0.032187157934234066,0.031449205702129564
underrepresented,Curriculum Issues: Access to bioinformatics lesson plans/curriculum,7,35,20,81,0.08641975308641975,Underrepresented_in_STEM,7,74,0.027784967236342984,0.06119070298337689,0.09170783852942763,0.08113166764341187
Non-underrepresented,Institutional Issues: Lack of inter-departmental cooperation,10,15,66.66666666666666,880,0.011363636363636364,Not_underrepresented_in_STEM,10,870,0.0024379440666830723,0.007002993271945553,0.011443215832635745,0.011284056894636983
underrepresented,Institutional Issues: Lack of inter-departmental cooperation,5,15,33.33333333333333,81,0.06172839506172839,Underrepresented_in_STEM,5,76,0.0024379440666830723,0.052409782937021226,0.06496356684796427,0.058493223275492515
